ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,order_date,ship_date,order_id,customer_id,payment_due_date,payment_date,payment_delay_days,payment_status,aging_bucket
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,2022-01-31,2022-02-04,1,Consumer_Henderson,2022-03-02,2022-04-04,33,Late,31–60 Days Late
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,2022-12-30,2023-01-05,2,Consumer_Henderson,2023-01-29,2023-02-21,23,Late,0–30 Days Late
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,2021-05-10,2021-05-14,3,Corporate_Los Angeles,2021-06-09,2021-06-18,9,Late,0–30 Days Late
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,2022-07-18,2022-07-23,4,Consumer_Fort Lauderdale,2022-08-17,2022-09-23,37,Late,31–60 Days Late
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,2022-02-04,2022-02-07,5,Consumer_Fort Lauderdale,2022-03-06,2022-03-08,2,Late,0–30 Days Late
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,2021-12-31,2022-01-01,6,Consumer_Los Angeles,2022-01-30,2022-02-14,15,Late,0–30 Days Late
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,2021-11-10,2021-11-12,7,Consumer_Los Angeles,2021-12-10,2022-01-12,33,Late,31–60 Days Late
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152,2019-05-02,2019-05-03,8,Consumer_Los Angeles,2019-06-01,2019-06-14,13,Late,0–30 Days Late
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,2020-04-11,2020-04-18,9,Consumer_Los Angeles,2020-05-11,2020-05-28,17,Late,0–30 Days Late
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,2022-05-23,2022-05-25,10,Consumer_Los Angeles,2022-06-22,2022-06-27,5,Late,0–30 Days Late
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,2019-11-27,2019-11-29,11,Consumer_Los Angeles,2019-12-27,2020-01-01,5,Late,0–30 Days Late
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,2019-03-29,2019-04-05,12,Consumer_Los Angeles,2019-04-28,2019-05-16,18,Late,0–30 Days Late
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,2022-10-28,2022-11-04,13,Consumer_Concord,2022-11-27,2022-12-27,30,Late,0–30 Days Late
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922,2022-01-28,2022-01-31,14,Consumer_Seattle,2022-02-27,2022-04-02,34,Late,31–60 Days Late
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,2021-05-21,2021-05-26,15,Home Office_Fort Worth,2021-06-20,2021-07-08,18,Late,0–30 Days Late
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,2019-05-11,2019-05-12,16,Home Office_Fort Worth,2019-06-10,2019-06-07,-3,On Time,On Time / Early
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,2022-08-25,2022-08-30,17,Consumer_Madison,2022-09-24,2022-10-10,16,Late,0–30 Days Late
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,2021-02-08,2021-02-12,18,Consumer_West Jordan,2021-03-10,2021-03-06,-4,On Time,On Time / Early
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824,2019-12-10,2019-12-13,19,Consumer_San Francisco,2020-01-09,2020-01-27,18,Late,0–30 Days Late
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,2022-12-08,2022-12-11,20,Consumer_San Francisco,2023-01-07,2023-02-14,38,Late,31–60 Days Late
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,2021-03-16,2021-03-20,21,Consumer_San Francisco,2021-04-15,2021-05-09,24,Late,0–30 Days Late
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,2020-01-21,2020-01-22,22,Corporate_Fremont,2020-02-20,2020-03-23,32,Late,31–60 Days Late
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,2022-04-30,2022-05-06,23,Corporate_Fremont,2022-05-30,2022-05-26,-4,On Time,On Time / Early
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,2021-08-13,2021-08-17,24,Consumer_Philadelphia,2021-09-12,2021-09-27,15,Late,0–30 Days Late
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,2019-10-04,2019-10-05,25,Consumer_Orem,2019-11-03,2019-11-30,27,Late,0–30 Days Late
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,2022-03-30,2022-04-01,26,Consumer_Los Angeles,2022-04-29,2022-05-05,6,Late,0–30 Days Late
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,2020-04-04,2020-04-11,27,Consumer_Los Angeles,2020-05-04,2020-05-20,16,Late,0–30 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,2022-08-30,2022-09-02,28,Consumer_Philadelphia,2022-09-29,2022-11-06,38,Late,31–60 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,2019-01-22,2019-01-23,29,Consumer_Philadelphia,2019-02-21,2019-03-12,19,Late,0–30 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,2019-09-10,2019-09-15,30,Consumer_Philadelphia,2019-10-10,2019-11-22,43,Late,31–60 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,2021-01-17,2021-01-24,31,Consumer_Philadelphia,2021-02-16,2021-03-09,21,Late,0–30 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,2021-05-06,2021-05-11,32,Consumer_Philadelphia,2021-06-05,2021-07-11,36,Late,31–60 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,2020-04-19,2020-04-26,33,Consumer_Philadelphia,2020-05-19,2020-06-10,22,Late,0–30 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,2021-12-18,2021-12-21,34,Consumer_Philadelphia,2022-01-17,2022-01-27,10,Late,0–30 Days Late
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,2020-05-25,2020-05-29,35,Home Office_Houston,2020-06-24,2020-07-03,9,Late,0–30 Days Late
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,2020-11-30,2020-12-06,36,Corporate_Richardson,2020-12-30,2021-02-09,41,Late,31–60 Days Late
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,2021-09-02,2021-09-06,37,Corporate_Richardson,2021-10-02,2021-11-09,38,Late,31–60 Days Late
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,2019-07-09,2019-07-10,38,Home Office_Houston,2019-08-08,2019-08-05,-3,On Time,On Time / Early
